Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2015,F,1-9,Black Non Hispanic,Diseases of the Heart,1
2015,F,1-9,Black Non Hispanic,CLRD,2
2015,F,1-9,Black Non Hispanic,Malignant Neoplasms,3
2015,F,1-9,Black Non Hispanic,Accidents,6
2015,F,1-9,Black Non Hispanic,All Other Causes,16
2015,F,1-9,Black Non Hispanic,Total,28
2015,F,1-9,Hispanic,Diseases of the Heart,1
2015,F,1-9,Hispanic,Cerebrovascular Disease,2
2015,F,1-9,Hispanic,Malignant Neoplasms,5
2015,F,1-9,Hispanic,Accidents,9
2015,F,1-9,Hispanic,All Other Causes,18
2015,F,1-9,Hispanic,Total,35
2015,F,1-9,Not Stated,Cerebrovascular Disease,1
2015,F,1-9,Not Stated,Total,1
2015,F,1-9,Other Non Hispanic,Diseases of the Heart,1
2015,F,1-9,Other Non Hispanic,Malignant Neoplasms,1
2015,F,1-9,Other Non Hispanic,Pneumonia,1
2015,F,1-9,Other Non Hispanic,All Other Causes,8
2015,F,1-9,Other Non Hispanic,Total,11
2015,F,1-9,White Non Hispanic,Cerebrovascular Disease,1
2015,F,1-9,White Non Hispanic,Pneumonia,1
2015,F,1-9,White Non Hispanic,Diseases of the Heart,3
2015,F,1-9,White Non Hispanic,Accidents,13
2015,F,1-9,White Non Hispanic,Malignant Neoplasms,14
2015,F,1-9,White Non Hispanic,All Other Causes,29
2015,F,1-9,White Non Hispanic,Total,61
2015,F,10-19,Black Non Hispanic,Cerebrovascular Disease,1
2015,F,10-19,Black Non Hispanic,Diseases of the Heart,1
2015,F,10-19,Black Non Hispanic,Malignant Neoplasms,2
2015,F,10-19,Black Non Hispanic,CLRD,4
2015,F,10-19,Black Non Hispanic,Accidents,8
2015,F,10-19,Black Non Hispanic,All Other Causes,22
2015,F,10-19,Black Non Hispanic,Total,38
2015,F,10-19,Hispanic,Diseases of the Heart,2
2015,F,10-19,Hispanic,Malignant Neoplasms,4
2015,F,10-19,Hispanic,Accidents,10
2015,F,10-19,Hispanic,All Other Causes,18
2015,F,10-19,Hispanic,Total,34
2015,F,10-19,Not Stated,Accidents,1
2015,F,10-19,Not Stated,All Other Causes,1
2015,F,10-19,Not Stated,Total,2
2015,F,10-19,Other Non Hispanic,All Other Causes,2
2015,F,10-19,Other Non Hispanic,Malignant Neoplasms,2
2015,F,10-19,Other Non Hispanic,Total,4
2015,F,10-19,White Non Hispanic,Diseases of the Heart,2
2015,F,10-19,White Non Hispanic,Pneumonia,5
2015,F,10-19,White Non Hispanic,Malignant Neoplasms,14
2015,F,10-19,White Non Hispanic,All Other Causes,41
2015,F,10-19,White Non Hispanic,Accidents,42
2015,F,10-19,White Non Hispanic,Total,104
2015,F,20-24,Black Non Hispanic,AIDS,2
2015,F,20-24,Black Non Hispanic,Pneumonia,2
2015,F,20-24,Black Non Hispanic,CLRD,4
2015,F,20-24,Black Non Hispanic,Malignant Neoplasms,5
2015,F,20-24,Black Non Hispanic,Diseases of the Heart,6
2015,F,20-24,Black Non Hispanic,Accidents,7
2015,F,20-24,Black Non Hispanic,All Other Causes,31
2015,F,20-24,Black Non Hispanic,Total,57
2015,F,20-24,Hispanic,AIDS,1
2015,F,20-24,Hispanic,CLRD,1
2015,F,20-24,Hispanic,Pneumonia,1
2015,F,20-24,Hispanic,Cerebrovascular Disease,2
2015,F,20-24,Hispanic,Malignant Neoplasms,7
2015,F,20-24,Hispanic,Accidents,19
2015,F,20-24,Hispanic,All Other Causes,32
2015,F,20-24,Hispanic,Total,63
2015,F,20-24,Not Stated,AIDS,1
2015,F,20-24,Not Stated,Accidents,1
2003,F,20-24,Hispanic,AIDS,6
2015,F,20-24,Not Stated,Malignant Neoplasms,1
2015,F,20-24,Not Stated,All Other Causes,2
2015,F,20-24,Not Stated,Total,5
2015,F,20-24,Other Non Hispanic,Accidents,2
2015,F,20-24,Other Non Hispanic,Diseases of the Heart,2
2015,F,20-24,Other Non Hispanic,Malignant Neoplasms,2
2015,F,20-24,Other Non Hispanic,All Other Causes,9
2015,F,20-24,Other Non Hispanic,Total,15
2015,F,20-24,White Non Hispanic,Pneumonia,1
2015,F,20-24,White Non Hispanic,CLRD,2
2015,F,20-24,White Non Hispanic,Cerebrovascular Disease,2
2015,F,20-24,White Non Hispanic,Diseases of the Heart,4
2015,F,20-24,White Non Hispanic,Malignant Neoplasms,6
2015,F,20-24,White Non Hispanic,All Other Causes,46
2015,F,20-24,White Non Hispanic,Accidents,59
2015,F,20-24,White Non Hispanic,Total,120
2015,F,25-34,Black Non Hispanic,Diabetes Mellitus,1
2015,F,25-34,Black Non Hispanic,Pneumonia,1
2015,F,25-34,Black Non Hispanic,CLRD,2
2015,F,25-34,Black Non Hispanic,Cerebrovascular Disease,2
2015,F,25-34,Black Non Hispanic,AIDS,5
2015,F,25-34,Black Non Hispanic,Accidents,21
2015,F,25-34,Black Non Hispanic,Diseases of the Heart,25
2015,F,25-34,Black Non Hispanic,Malignant Neoplasms,29
2015,F,25-34,Black Non Hispanic,All Other Causes,92
2015,F,25-34,Black Non Hispanic,Total,178
2015,F,25-34,Hispanic,Cerebrovascular Disease,2
2015,F,25-34,Hispanic,Diabetes Mellitus,2
2015,F,25-34,Hispanic,AIDS,3
2015,F,25-34,Hispanic,CLRD,3
2015,F,25-34,Hispanic,Diseases of the Heart,6
