Year,County Name,Region,Age Group,Deaths
2015,Albany,ROS,1-9,4
2015,Albany,ROS,20-24,9
2015,Albany,ROS,10-19,13
2015,Albany,ROS,<1,19
2015,Albany,ROS,25-34,37
2015,Albany,ROS,35-44,52
2015,Albany,ROS,45-54,144
2015,Albany,ROS,55-64,300
2015,Albany,ROS,65-74,467
2015,Albany,ROS,75-84,657
2015,Albany,ROS,85+,1104
2015,Albany,ROS,Total,2806
2015,Allegany,ROS,1-9,1
2015,Allegany,ROS,20-24,2
2015,Allegany,ROS,10-19,4
2015,Allegany,ROS,<1,4
2015,Allegany,ROS,25-34,8
2015,Allegany,ROS,35-44,10
2015,Allegany,ROS,45-54,39
2015,Allegany,ROS,55-64,72
2015,Allegany,ROS,65-74,120
2015,Allegany,ROS,85+,198
2015,Allegany,ROS,75-84,200
2015,Allegany,ROS,Total,658
2015,Bronx,NYC,1-9,33
2015,Bronx,NYC,10-19,46
2015,Bronx,NYC,<1,108
2015,Bronx,NYC,20-24,114
2015,Bronx,NYC,25-34,216
2015,Bronx,NYC,35-44,334
2015,Bronx,NYC,45-54,881
2015,Bronx,NYC,55-64,1461
2015,Bronx,NYC,65-74,1729
2015,Bronx,NYC,75-84,2002
2015,Bronx,NYC,85+,2532
2015,Bronx,NYC,Total,9456
2015,Broome,ROS,10-19,3
2015,Broome,ROS,1-9,5
2015,Broome,ROS,<1,13
2015,Broome,ROS,20-24,18
2015,Broome,ROS,25-34,31
2015,Broome,ROS,35-44,40
2015,Broome,ROS,45-54,128
2015,Broome,ROS,55-64,251
2015,Broome,ROS,65-74,350
2015,Broome,ROS,75-84,506
2015,Broome,ROS,85+,804
2015,Broome,ROS,Total,2149
2015,Cattaraugus,ROS,1-9,1
2015,Cattaraugus,ROS,10-19,2
2015,Cattaraugus,ROS,<1,3
2015,Cattaraugus,ROS,20-24,9
2015,Cattaraugus,ROS,25-34,11
2015,Cattaraugus,ROS,35-44,23
2015,Cattaraugus,ROS,45-54,47
2015,Cattaraugus,ROS,55-64,131
2015,Cattaraugus,ROS,65-74,169
2015,Cattaraugus,ROS,75-84,215
2015,Cattaraugus,ROS,85+,295
2015,Cattaraugus,ROS,Total,906
2015,Cayuga,ROS,1-9,1
2015,Cayuga,ROS,<1,3
2015,Cayuga,ROS,20-24,5
2015,Cayuga,ROS,25-34,15
2015,Cayuga,ROS,35-44,25
2015,Cayuga,ROS,45-54,43
2015,Cayuga,ROS,55-64,104
2015,Cayuga,ROS,65-74,165
2015,Cayuga,ROS,75-84,191
2015,Cayuga,ROS,85+,309
2015,Cayuga,ROS,Total,861
2015,Chautauqua,ROS,10-19,5
2015,Chautauqua,ROS,1-9,7
2015,Chautauqua,ROS,20-24,9
2015,Chautauqua,ROS,<1,9
2015,Chautauqua,ROS,25-34,28
2015,Chautauqua,ROS,35-44,28
2015,Chautauqua,ROS,45-54,80
2015,Chautauqua,ROS,55-64,195
2015,Chautauqua,ROS,65-74,251
2015,Chautauqua,ROS,75-84,364
2015,Chautauqua,ROS,85+,496
2015,Chautauqua,ROS,Total,1472
2015,Chemung,ROS,1-9,1
2015,Chemung,ROS,10-19,3
2015,Chemung,ROS,20-24,4
2015,Chemung,ROS,<1,9
2015,Chemung,ROS,25-34,10
2015,Chemung,ROS,35-44,18
2015,Chemung,ROS,45-54,44
2015,Chemung,ROS,55-64,129
2015,Chemung,ROS,65-74,190
2015,Chemung,ROS,75-84,247
2015,Chemung,ROS,85+,383
2015,Chemung,ROS,Total,1038
2015,Chenango,ROS,1-9,1
2015,Chenango,ROS,10-19,2
2015,Chenango,ROS,20-24,4
2015,Chenango,ROS,<1,5
2015,Chenango,ROS,25-34,7
2015,Chenango,ROS,35-44,11
2015,Chenango,ROS,45-54,25
2015,Chenango,ROS,55-64,78
2015,Chenango,ROS,65-74,131
2015,Chenango,ROS,75-84,141
2015,Chenango,ROS,85+,253
2015,Chenango,ROS,Total,658
2015,Clinton,ROS,1-9,1
2015,Clinton,ROS,10-19,1
2015,Clinton,ROS,<1,5
2015,Clinton,ROS,20-24,6
2015,Clinton,ROS,25-34,12
2015,Clinton,ROS,35-44,17
2015,Clinton,ROS,45-54,52
2015,Clinton,ROS,55-64,67
2015,Clinton,ROS,65-74,128
2015,Clinton,ROS,75-84,190
2015,Clinton,ROS,85+,237
2015,Clinton,ROS,Total,716
2015,Columbia,ROS,1-9,1
2015,Columbia,ROS,<1,2
2015,Columbia,ROS,20-24,3
2015,Columbia,ROS,35-44,8
2015,Columbia,ROS,25-34,13
2015,Columbia,ROS,45-54,38
2015,Columbia,ROS,55-64,73
2015,Columbia,ROS,65-74,146
2015,Columbia,ROS,75-84,190
2015,Columbia,ROS,85+,262
2015,Columbia,ROS,Total,736
2015,Cortland,ROS,1-9,1
2015,Cortland,ROS,20-24,2
2015,Cortland,ROS,<1,2
2015,Cortland,ROS,10-19,6
2015,Cortland,ROS,25-34,7
2015,Cortland,ROS,35-44,10
2015,Cortland,ROS,45-54,27
2015,Cortland,ROS,55-64,65
2015,Cortland,ROS,65-74,83
2015,Cortland,ROS,75-84,107
2015,Cortland,ROS,85+,163
2015,Cortland,ROS,Total,473
2015,Delaware,ROS,20-24,2
2015,Delaware,ROS,10-19,3
2015,Delaware,ROS,<1,3
2015,Delaware,ROS,25-34,4
2015,Delaware,ROS,35-44,11
2015,Delaware,ROS,45-54,21
2015,Delaware,ROS,55-64,71
2015,Delaware,ROS,65-74,95
2015,Delaware,ROS,75-84,130
2015,Delaware,ROS,85+,192
2015,Delaware,ROS,Total,532
2015,Dutchess,ROS,1-9,2
2015,Dutchess,ROS,<1,5
2015,Dutchess,ROS,10-19,9
2015,Dutchess,ROS,20-24,14
2015,Dutchess,ROS,25-34,35
2015,Dutchess,ROS,35-44,45
2015,Dutchess,ROS,45-54,106
2015,Dutchess,ROS,55-64,271
2015,Dutchess,ROS,65-74,401
2015,Dutchess,ROS,75-84,588
2015,Dutchess,ROS,85+,796
2015,Dutchess,ROS,Total,2272
2015,Erie,ROS,1-9,15
2015,Erie,ROS,10-19,31
2015,Erie,ROS,20-24,67
2015,Erie,ROS,<1,73
2015,Erie,ROS,25-34,187
2015,Erie,ROS,35-44,204
2015,Erie,ROS,45-54,550
2015,Erie,ROS,55-64,1119
2015,Erie,ROS,65-74,1564
2015,Erie,ROS,75-84,2419
2015,Erie,ROS,85+,3691
2015,Erie,ROS,Total,9920
2015,Essex,ROS,1-9,1
2015,Essex,ROS,10-19,1
2015,Essex,ROS,<1,2
2015,Essex,ROS,20-24,3
2015,Essex,ROS,35-44,8
2015,Essex,ROS,25-34,10
2015,Essex,ROS,45-54,22
2015,Essex,ROS,55-64,45
2015,Essex,ROS,65-74,99
2015,Essex,ROS,75-84,119
2015,Essex,ROS,85+,179
2015,Essex,ROS,Total,489
2015,Franklin,ROS,1-9,1
2015,Franklin,ROS,20-24,1
2015,Franklin,ROS,10-19,2
2015,Franklin,ROS,<1,3
2015,Franklin,ROS,25-34,6
2015,Franklin,ROS,35-44,12
2015,Franklin,ROS,45-54,29
2015,Franklin,ROS,55-64,68
2015,Franklin,ROS,65-74,90
2015,Franklin,ROS,75-84,146
2015,Franklin,ROS,85+,152
2015,Franklin,ROS,Total,510
2015,Fulton,ROS,20-24,2
2015,Fulton,ROS,<1,2
2015,Fulton,ROS,25-34,9
2015,Fulton,ROS,35-44,14
2015,Fulton,ROS,45-54,41
2015,Fulton,ROS,55-64,79
2015,Fulton,ROS,65-74,128
2015,Fulton,ROS,75-84,135
2015,Fulton,ROS,85+,213
2015,Fulton,ROS,Total,623
2015,Genesee,ROS,1-9,1
2015,Genesee,ROS,10-19,1
2015,Genesee,ROS,<1,2
2015,Genesee,ROS,20-24,3
2015,Genesee,ROS,25-34,8
2015,Genesee,ROS,35-44,13
2015,Genesee,ROS,45-54,34
2015,Genesee,ROS,55-64,68
2015,Genesee,ROS,65-74,95
2015,Genesee,ROS,75-84,155
2015,Genesee,ROS,85+,247
2015,Genesee,ROS,Total,627
2015,Greene,ROS,20-24,2
2015,Greene,ROS,25-34,9
2015,Greene,ROS,35-44,11
2015,Greene,ROS,45-54,28
2015,Greene,ROS,55-64,83
2015,Greene,ROS,65-74,114
2015,Greene,ROS,75-84,133
2015,Greene,ROS,85+,178
2015,Greene,ROS,Total,558
2015,Hamilton,ROS,10-19,1
2015,Hamilton,ROS,35-44,1
2015,Hamilton,ROS,55-64,3
2015,Hamilton,ROS,45-54,4
2015,Hamilton,ROS,65-74,17
2015,Hamilton,ROS,85+,19
2015,Hamilton,ROS,75-84,21
2015,Hamilton,ROS,Total,66
2015,Herkimer,ROS,10-19,1
2015,Herkimer,ROS,1-9,3
2015,Herkimer,ROS,20-24,4
2015,Herkimer,ROS,<1,10
2015,Herkimer,ROS,25-34,13
2015,Herkimer,ROS,35-44,16
2015,Herkimer,ROS,45-54,44
2015,Herkimer,ROS,55-64,85
2015,Herkimer,ROS,65-74,123
2015,Herkimer,ROS,75-84,185
2015,Herkimer,ROS,85+,283
2015,Herkimer,ROS,Total,767
2015,Jefferson,ROS,10-19,1
2015,Jefferson,ROS,1-9,3
2015,Jefferson,ROS,25-34,11
2015,Jefferson,ROS,20-24,12
2015,Jefferson,ROS,<1,13
2015,Jefferson,ROS,35-44,17
2015,Jefferson,ROS,45-54,53
2015,Jefferson,ROS,55-64,121
2015,Jefferson,ROS,65-74,195
2015,Jefferson,ROS,75-84,207
2015,Jefferson,ROS,85+,288
2015,Jefferson,ROS,Total,921
2015,Kings,NYC,1-9,40
2015,Kings,NYC,10-19,61
2015,Kings,NYC,20-24,112
2015,Kings,NYC,<1,160
2015,Kings,NYC,25-34,348
2015,Kings,NYC,35-44,477
2015,Kings,NYC,45-54,1162
2015,Kings,NYC,55-64,2048
2015,Kings,NYC,65-74,2763
2015,Kings,NYC,75-84,3553
2015,Kings,NYC,85+,5091
2015,Kings,NYC,Total,15815
2015,Lewis,ROS,<1,1
2015,Lewis,ROS,20-24,2
2015,Lewis,ROS,25-34,8
2015,Lewis,ROS,35-44,10
2015,Lewis,ROS,45-54,20
2015,Lewis,ROS,55-64,34
2015,Lewis,ROS,65-74,72
2015,Lewis,ROS,75-84,85
2015,Lewis,ROS,85+,143
2015,Lewis,ROS,Total,375
2015,Livingston,ROS,20-24,1
2015,Livingston,ROS,25-34,6
2015,Livingston,ROS,35-44,15
2015,Livingston,ROS,45-54,28
2015,Livingston,ROS,55-64,73
